dataset,dataset_label,model_code,model_label,status,log_path,asr_mean,precision_mean,recall_mean,f1_mean
nq,NQ,qwen35,qwen3.5:9b,skipped_existing_qwen35,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_style_qwen35_2026-07-07\logs\nq-contriever-ollama_qwen3.5-top5-adv5-M10x10.log,0.98,0.96,0.96,0.96
nq,NQ,llama31_8b,llama3.1:8b,complete,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_logs\logs\nq-contriever-ollama_llama3.1_8b-top5-adv5-M10x10.log,0.97,0.96,0.96,0.96
nq,NQ,mistral_7b,mistral:7b,complete,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_logs\logs\nq-contriever-ollama_mistral_7b-top5-adv5-M10x10.log,1.0,0.96,0.96,0.96
hotpotqa,HotpotQA,qwen35,qwen3.5:9b,skipped_existing_qwen35,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_style_qwen35_2026-07-07\logs\hotpotqa-contriever-ollama_qwen3.5-top5-adv5-M10x10.log,1.0,1.0,1.0,1.0
hotpotqa,HotpotQA,llama31_8b,llama3.1:8b,complete,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_logs\logs\hotpotqa-contriever-ollama_llama3.1_8b-top5-adv5-M10x10.log,0.98,1.0,1.0,1.0
hotpotqa,HotpotQA,mistral_7b,mistral:7b,complete,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_logs\logs\hotpotqa-contriever-ollama_mistral_7b-top5-adv5-M10x10.log,0.99,1.0,1.0,1.0
msmarco,MS MARCO,qwen35,qwen3.5:9b,skipped_existing_qwen35,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_style_qwen35_2026-07-07\logs\msmarco-contriever-ollama_qwen3.5-top5-adv5-M10x10.log,0.92,0.89,0.89,0.89
msmarco,MS MARCO,llama31_8b,llama3.1:8b,complete,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_logs\logs\msmarco-contriever-ollama_llama3.1_8b-top5-adv5-M10x10.log,0.91,0.89,0.89,0.89
msmarco,MS MARCO,mistral_7b,mistral:7b,complete,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_logs\logs\msmarco-contriever-ollama_mistral_7b-top5-adv5-M10x10.log,0.94,0.89,0.89,0.89
